,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
0,Alaa Abdelnaby,abdelal01,1990-91,22,POR,NBA,PF,43,0,6.7,1.3,2.7,.474,0.0,0.0,,1.3,2.7,.474,.474,0.6,1.0,.568,0.6,1.4,2.1,0.3,0.1,0.3,0.5,0.9,3.1
2,Kareem Abdul-Jabbar,abdulka01,1969-70,22,MIL,NBA,C,82,,43.1,11.4,22.1,.518,,,,11.4,22.1,.518,.518,5.9,9.1,.653,,,14.5,4.1,,,,3.5,28.8
3,Mahmoud Abdul-Rauf,abdulma02,1990-91,21,DEN,NBA,PG,67,19,22.5,6.2,15.1,.413,0.4,1.5,.240,5.9,13.6,.432,.425,1.3,1.5,.857,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1
4,Tariq Abdul-Wahad,abdulta01,1997-98,23,SAC,NBA,SG,59,16,16.3,2.4,6.1,.403,0.1,0.3,.211,2.4,5.7,.414,.409,1.4,2.1,.672,0.7,1.2,2.0,0.9,0.6,0.2,1.1,1.4,6.4
5,Shareef Abdur-Rahim,abdursh01,1996-97,20,VAN,NBA,PF,80,71,35.0,6.9,15.2,.453,0.1,0.3,.259,6.8,14.8,.457,.456,4.8,6.5,.746,2.7,4.2,6.9,2.2,1.0,1.0,2.8,2.5,18.7
6,Tom Abernethy,abernto01,1976-77,22,LAL,NBA,SF,70,,19.7,2.4,5.0,.484,,,,2.4,5.0,.484,.484,1.4,1.9,.754,1.6,2.5,4.2,1.4,0.7,0.1,,1.7,6.3
9,Alex Abrines,abrinal01,2016-17,23,OKC,NBA,SG,68,6,15.5,2.0,5.0,.393,1.4,3.6,.381,0.6,1.4,.426,.531,0.6,0.7,.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0
10,Alex Acker,ackeral01,2005-06,23,DET,NBA,SG,5,0,7.0,0.8,3.2,.250,0.2,1.0,.200,0.6,2.2,.273,.281,0.0,0.0,,0.2,0.8,1.0,0.8,0.2,0.0,0.8,0.8,1.8
12,Mark Acres,acresma01,1987-88,25,BOS,NBA,C,79,5,14.6,1.4,2.6,.532,0.0,0.0,,1.4,2.6,.532,.532,0.9,1.4,.640,1.3,2.1,3.4,0.5,0.4,0.3,0.7,2.5,3.6
14,Quincy Acy,acyqu01,2012-13,22,TOR,NBA,PF,29,0,11.8,1.4,2.6,.560,0.0,0.1,.500,1.4,2.5,.562,.567,1.1,1.3,.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0
